Time,Ultrasonic_p3_01,Ultrasonic_p4_01,Gyro_p1_01,Rotation_pA_01,Rotation_pD_01,Ultrasonic_p3_02,Ultrasonic_p4_02,Gyro_p1_02,Rotation_pA_02,Rotation_pD_02
13.800,38.500,96.800,151.000,19.467,19.475,41.800,255.000,-26.000,19.486,19.464,
13.900,37.000,42.000,151.000,19.608,19.617,43.900,255.000,-26.000,19.628,19.603,
14.000,37.200,42.900,151.000,19.747,19.753,43.300,39.100,-27.000,19.772,19.747,
14.100,36.100,40.400,151.000,19.903,19.903,47.100,37.400,-28.000,19.914,19.889,
14.200,35.500,125.000,151.000,20.039,20.039,53.600,34.500,-28.000,20.056,20.031,
14.300,34.900,35.700,151.000,20.178,20.181,47.400,34.000,-29.000,20.197,20.175,
14.400,34.700,125.000,151.000,20.317,20.319,51.100,32.100,-29.000,20.336,20.317,
14.500,34.000,125.400,151.000,20.461,20.464,56.300,32.600,-28.000,20.475,20.458,
14.600,32.600,125.400,150.000,20.600,20.603,51.800,32.600,-27.000,20.608,20.597,
14.700,32.600,125.400,151.000,20.744,20.747,51.800,32.100,-27.000,20.753,20.742,
14.800,32.100,255.000,151.000,20.883,20.886,55.900,32.600,-26.000,20.892,20.886,
14.900,32.600,203.500,151.000,21.028,21.031,56.700,25.500,-26.000,21.033,21.031,
15.000,30.400,77.800,151.000,21.167,21.169,57.100,32.600,-25.000,21.175,21.175,
15.100,29.600,16.400,150.000,21.311,21.311,59.900,32.600,-25.000,21.314,21.317,
15.200,28.600,16.400,150.000,21.447,21.447,60.700,21.300,-24.000,21.456,21.458,
15.300,28.100,16.400,149.000,21.592,21.589,62.400,86.900,-24.000,21.597,21.600,
15.400,27.800,16.600,149.000,21.736,21.733,64.400,87.100,-24.000,21.736,21.736,
15.500,26.500,17.300,149.000,21.878,21.875,67.900,87.900,-23.000,21.878,21.881,
15.600,26.500,17.900,149.000,22.019,22.014,66.200,87.700,-24.000,22.019,22.019,
15.700,25.100,18.400,148.000,22.161,22.153,66.600,98.400,-24.000,22.164,22.158,
15.800,25.500,18.900,148.000,22.300,22.292,68.100,92.100,-24.000,22.306,22.303,
15.900,24.100,19.000,147.000,22.442,22.431,69.700,255.000,-23.000,22.444,22.444,
16.000,23.700,19.500,147.000,22.581,22.572,73.600,255.000,-23.000,22.583,22.586,
16.100,22.900,19.900,146.000,22.728,22.717,72.000,11.800,-22.000,22.725,22.728,
16.200,22.000,20.500,145.000,22.869,22.858,74.200,13.900,-21.000,22.867,22.869,
16.300,22.000,20.400,144.000,23.011,22.997,72.700,42.500,-19.000,23.006,23.017,
16.400,21.200,21.100,143.000,23.153,23.136,72.700,42.800,-18.000,23.147,23.161,
16.500,20.400,21.300,142.000,23.294,23.278,72.700,42.700,-17.000,23.286,23.306,
16.600,20.300,22.100,140.000,23.433,23.414,72.700,44.300,-15.000,23.428,23.447,
16.700,19.800,21.900,139.000,23.578,23.558,75.400,71.300,-14.000,23.564,23.586,
16.800,20.300,22.100,137.000,23.719,23.700,76.400,71.300,-12.000,23.706,23.731,
16.900,19.800,22.000,136.000,23.861,23.842,78.600,71.300,-9.000,23.847,23.875,
17.000,15.700,22.000,135.000,24.003,23.986,78.000,201.900,-8.000,23.989,24.019,
17.100,15.700,22.500,135.000,24.139,24.125,78.800,67.200,-7.000,24.128,24.156,
17.200,15.700,22.500,136.000,24.283,24.272,78.800,67.200,-7.000,24.281,24.311,
17.300,22.100,22.700,135.000,24.425,24.414,80.000,76.500,-6.000,24.411,24.439,
17.400,55.300,22.900,135.000,24.564,24.558,80.200,76.500,-6.000,24.553,24.578,
17.500,255.000,22.900,135.000,24.703,24.697,80.400,76.500,-4.000,24.692,24.717,
17.600,255.000,22.800,135.000,24.844,24.842,81.200,78.000,-3.000,24.836,24.858,
17.700,113.100,22.800,135.000,24.986,24.983,81.200,204.300,-2.000,24.978,25.000,
17.800,121.500,23.300,135.000,25.131,25.125,81.200,91.800,-1.000,25.117,25.139,
17.900,255.000,24.300,135.000,25.272,25.267,81.200,91.300,1.000,25.261,25.281,
18.000,255.000,23.700,135.000,25.411,25.406,83.100,201.800,2.000,25.400,25.417,
18.100,255.000,23.300,135.000,25.550,25.547,83.000,201.600,4.000,25.542,25.558,
18.200,135.800,23.500,135.000,25.697,25.694,83.500,124.200,6.000,25.683,25.700,
18.300,133.600,23.500,135.000,25.836,25.833,84.300,200.700,6.000,25.825,25.836,
18.400,114.300,23.700,135.000,25.978,25.975,84.100,89.400,8.000,25.969,25.981,
18.500,110.700,23.700,135.000,26.119,26.114,84.700,200.000,10.000,26.108,26.119,
18.600,111.500,23.600,134.000,26.264,26.258,85.600,198.300,12.000,26.247,26.261,
18.700,108.900,23.900,135.000,26.403,26.400,84.700,183.700,14.000,26.389,26.400,
18.800,106.200,24.100,135.000,26.544,26.542,86.100,80.800,16.000,26.528,26.539,
18.900,111.300,24.300,134.000,26.686,26.683,84.700,198.300,18.000,26.672,26.681,
19.000,136.800,24.100,134.000,26.825,26.822,84.900,199.000,20.000,26.808,26.817,
19.100,103.000,23.900,133.000,26.967,26.964,47.500,152.100,22.000,26.950,26.956,
19.200,138.100,23.600,133.000,27.111,27.106,84.100,198.800,23.000,27.092,27.097,
19.300,101.500,24.300,132.000,27.250,27.242,84.100,199.300,24.000,27.233,27.242,
19.400,137.900,23.500,132.000,27.389,27.383,83.300,199.900,26.000,27.369,27.378,
19.500,137.200,23.300,133.000,27.531,27.525,84.700,199.300,30.000,27.511,27.519,
19.600,255.000,23.400,133.000,27.669,27.669,84.800,201.100,36.000,27.658,27.661,
19.700,96.400,22.800,134.000,27.808,27.808,85.600,201.800,41.000,27.794,27.792,
19.800,92.900,22.800,133.000,27.953,27.953,87.300,201.600,43.000,27.936,27.933,
19.900,91.300,22.800,134.000,28.092,28.092,87.300,205.600,45.000,28.075,28.072,
20.000,90.300,22.900,133.000,28.236,28.233,87.300,218.100,49.000,28.214,28.211,
20.100,89.500,22.900,133.000,28.375,28.369,87.300,255.000,55.000,28.358,28.356,
20.200,87.300,22.700,133.000,28.519,28.517,93.100,240.500,57.000,28.497,28.492,
20.300,87.300,22.500,133.000,28.658,28.658,201.100,240.500,58.000,28.642,28.636,
20.400,83.500,22.500,133.000,28.803,28.800,94.300,240.500,61.000,28.786,28.775,
20.500,79.400,22.700,132.000,28.942,28.939,255.000,240.500,66.000,28.931,28.914,
20.600,81.400,22.700,132.000,29.086,29.081,255.000,240.500,70.000,29.069,29.053,
20.700,82.300,22.100,131.000,29.225,29.217,255.000,54.200,71.000,29.211,29.194,
20.800,79.600,22.100,131.000,29.369,29.361,147.200,51.100,65.000,29.342,29.342,
20.900,77.000,21.900,131.000,29.508,29.503,255.000,51.100,66.000,29.481,29.492,
21.000,77.000,21.700,131.000,29.650,29.647,136.800,51.100,68.000,29.631,29.628,
21.100,77.000,21.200,131.000,29.792,29.786,115.200,51.100,67.000,29.769,29.769,
21.200,75.600,21.200,131.000,29.933,29.928,115.200,88.100,66.000,29.906,29.919,
21.300,75.600,21.100,131.000,30.078,30.069,107.400,88.100,67.000,30.047,30.061,
21.400,73.000,21.100,131.000,30.214,30.208,255.000,88.100,66.000,30.186,30.206,
21.500,73.000,20.900,130.000,30.358,30.347,255.000,88.100,66.000,30.322,30.347,
21.600,68.700,20.400,130.000,30.497,30.489,255.000,88.100,66.000,30.461,30.486,
21.700,69.800,20.500,129.000,30.639,30.631,88.300,88.100,66.000,30.603,30.628,
21.800,69.300,20.400,129.000,30.781,30.769,255.000,88.100,66.000,30.742,30.772,
21.900,64.500,56.100,128.000,30.928,30.914,163.300,88.100,66.000,30.883,30.917,
22.000,64.100,20.500,127.000,31.069,31.053,255.000,88.100,66.000,31.025,31.058,
22.100,63.000,19.700,126.000,31.208,31.189,255.000,60.900,66.000,31.161,31.203,
22.200,61.600,19.100,123.000,31.353,31.331,186.600,64.100,66.000,31.297,31.342,
22.300,61.600,19.100,120.000,31.492,31.467,255.000,59.000,66.000,31.442,31.494,
22.400,58.600,255.000,117.000,31.633,31.611,188.500,59.000,65.000,31.564,31.625,
22.500,56.100,22.000,115.000,31.775,31.753,-,-,-,-,-,
22.600,56.300,19.800,114.000,31.919,31.894,-,-,-,-,-,
22.700,55.900,20.300,113.000,32.058,32.036,-,-,-,-,-,
22.800,54.600,22.100,112.000,32.203,32.181,-,-,-,-,-,
22.900,55.000,19.800,110.000,32.342,32.317,-,-,-,-,-,
23.000,53.400,20.300,108.000,32.481,32.458,-,-,-,-,-,
23.100,52.700,21.100,106.000,32.622,32.603,-,-,-,-,-,
23.200,52.700,20.500,105.000,32.764,32.744,-,-,-,-,-,
23.300,52.300,20.700,104.000,32.908,32.889,-,-,-,-,-,
